[08/Feb/2026:11:19:05 +0000] GET /api/owner/products/accepted 304 834.227 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:36 +0000] GET /api/owner/products/accepted 304 744.323 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:37 +0000] GET /api/owner/products/accepted 304 948.173 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:38 +0000] GET /api/owner/products/new 304 1203.234 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:39 +0000] GET /api/owner/products/new 304 1358.348 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:40 +0000] GET /api/owner/salaries/branches 304 705.559 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:41 +0000] GET /api/owner/salaries/branches 304 771.127 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:44 +0000] GET /api/owner/profits?monthYear=Jan-2026 304 3348.479 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:48 +0000] GET /api/companies 304 6462.703 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:48 +0000] GET /api/owner/salaries?monthYear=Jan-2026 304 8606.359 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:19:49 +0000] GET /api/companies 304 502.172 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:52 +0000] GET /api/owner/inventory 304 1361.482 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:52 +0000] GET /api/owner/inventory/branches 304 1367.763 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:53 +0000] GET /api/owner/inventory 304 1157.046 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:53 +0000] GET /api/owner/inventory/branches 304 1151.207 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:55 +0000] GET /api/owner/products/accepted 304 1168.784 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:56 +0000] GET /api/owner/products/accepted 304 1251.905 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:59 +0000] GET /api/owner/orders 304 2336.434 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:20:59 +0000] GET /api/owner/orders/branches 304 2442.642 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:21:00 +0000] GET /api/owner/orders 304 1223.154 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:21:00 +0000] GET /api/owner/orders/branches 304 1149.055 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:21:36 +0000] GET /api/owner/sales/S001 200 4092.892 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:21:40 +0000] GET /api/owner/sales/S001 304 4557.620 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:22:49 +0000] GET / 404 3.863 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:23:06 +0000] GET / 404 2.383 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:23:51 +0000] GET / 404 11.885 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:23:56 +0000] GET / 404 3.060 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:24:02 +0000] GET / 404 0.534 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:24:23 +0000] GET / 404 7.304 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
